2020_10,2020_11,2020_12,2021_01,2021_02,2021_03,2021_04,2021_05,2021_06,2021_07,2021_08,2021_09
1322389062280454145,1333224956428120064,1334023628292296705,1351870979769839623,1362783477293269003,1375813079238389760,1379357440542662656,1391383533139202055,1407742201728282633,1420538276910407680,1424130363865980929,1436129128944709635
1322222278705369088,1328620029374558208,1339614787055960064,1345216570163945472,1364941974621609985,1368990699446763524,1387800702882361350,1393966856436948997,1410281135238750220,1418664449880334337,1432098650671521800,1440293089973653510
1318498114639024129,1333310524654841856,1340754484855758849,1353385582471245826,1358435092293640195,1368979331112865792,1382493552031236099,1393608226504069122,1404508924661833728,1411901580677427206,1425290283860873220,1438526803270905858
1319085438909452290,1323727802789625856,1335088683246993409,1350484598375936007,1361597669152555011,1368007526285942786,1385029085613625344,1392506459699744773,1407660271338938368,1414470543328219138,1427994281994817545,1441023421010386946
1321495842658930689,1331598152655245312,1333810499025334275,1347254000593362947,1364276790957543424,1373145926597017603,1380542658934829063,1389352828573913090,1407544271918432260,1415409631090851841,1432259002683969541,1433865696153309188
1321884213545783297,1325704562301259778,1339304125268455427,1349980831826272256,1361579427193307141,1373510612362219523,1381964452845608962,1397735213854334976,1407547309609545731,1421374675922391043,1431765826705797122,1443112416850501636
1320989496121434113,1333136639154139138,1344789083265130498,1348218502407213058,1359855461596545033,1371634447989272581,1385315361407397888,1394499873219629062,1406178368169680898,1417226621539528704,1428408391521636353,1442299864738516998
1318877860879200256,1333133370373660673,1335438537601249282,1346385358926307329,1365097912921976837,1372293257430929408,1382526704774651905,1393910596958138368,1406350118656294920,1420465269999382529,1422772166328684545,1434983488143323139
1318948204709253120,1322848148168019969,1339402541340102656,1345539369889902593,1363766067424866307,1375441641524330499,1384954263101710337,1392189978625589250,1402012943252918279,1412489650237739019,1429994462273490945,1436897753171472387
1318545996117364746,1328785015606571009,1334981079275548672,1350633429713371137,1364301414407749650,1374658931742625794,1379115342761459716,1393046426792435722,1404769388344000512,1418304930914385923,1430195944910434316,1432963221141422081
